timestamp_s,pred_class,soft_err,cte_px,for_spd,turn_spd,delta_turn_spd,off_line_prob,off_line
6.853,right,0.6175,NaN,0.2419,0.2441,12.6066,0.3521,0
6.915,right,0.61,NaN,0.2432,0.2053,2.3259,0.3566,0
6.963,right,0.5162,NaN,0.2597,-0.2466,27.1166,0.4367,0
6.997,right,0.5162,NaN,0.2597,0.2039,27.0277,0.4367,0
7.029,right,0.4872,NaN,0.2647,0.0532,9.0374,0.4774,0
7.061,right,0.5102,NaN,0.2607,0.3118,15.5142,0.4545,0
7.094,right,0.5102,NaN,0.2607,0.2017,6.6063,0.4545,0
7.125,off_line,0.4107,NaN,0.2781,-0.3156,31.0388,0.5578,0
7.159,off_line,0.4192,NaN,0.2766,0.2066,31.3354,0.5483,0
7.19,off_line,0.4192,NaN,0.2766,0.1655,2.4662,0.5483,0
7.221,off_line,0.3584,NaN,0.05,0.0,9.9326,0.606,1
7.253,off_line,0.4277,NaN,0.2752,1.0,60.0,0.5323,0
7.284,off_line,0.4277,NaN,0.2752,0.1712,49.7274,0.5323,0
7.317,off_line,0.412,NaN,0.2779,0.0897,4.889,0.5399,0
7.364,off_line,0.331,NaN,0.2921,-0.2558,20.7345,0.4917,0
7.397,off_line,0.331,NaN,0.2921,0.1327,23.3152,0.4917,0
7.428,left,-0.997,NaN,0.1755,-1.0,67.9643,0.001,0
7.461,left,-0.9998,-142.02,0.175,-0.4135,35.1894,0.0,0
7.494,left,-0.9998,-142.02,0.175,-0.4001,0.8042,0.0,0
7.524,left,-0.9987,-109.51,0.1752,-0.3942,0.3515,0.0,0
7.558,left,-0.9633,NaN,0.1814,-0.2159,10.7034,0.0,0
7.589,left,-0.9633,NaN,0.1814,-0.386,10.2066,0.0,0
7.621,left,-0.1989,NaN,0.3152,1.0,83.1581,0.0,0
7.652,right,0.3534,NaN,0.2882,1.0,0.0,0.0,0
7.685,right,0.2476,NaN,0.3067,-0.4093,84.5606,0.0,0
7.715,right,0.2476,NaN,0.3067,0.0985,30.4696,0.0,0
7.764,right,0.4899,115.13,0.2643,1.0,54.091,0.0,0
7.796,right,0.5455,129.15,0.2545,0.4849,30.9082,0.0,0
7.829,right,0.5455,129.15,0.2545,0.2179,16.0174,0.0,0
7.861,right,0.9083,147.28,0.191,1.0,46.9255,0.0,0
7.892,right,0.9893,NaN,0.1769,0.7847,12.9171,0.0,0
7.925,right,0.9989,NaN,0.1752,0.4456,20.347,0.0,0
7.957,right,0.9989,NaN,0.1752,0.3999,2.7412,0.0,0
7.989,right,0.9999,NaN,0.175,0.4052,0.3179,0.0,0
8.02,right,0.9999,NaN,0.175,0.401,0.254,0.0,0
8.053,right,1.0,NaN,0.175,0.401,0.0024,0.0,0
8.084,right,0.9999,NaN,0.175,0.4008,0.0124,0.0,0
8.116,right,0.9992,NaN,0.1751,0.3976,0.1956,0.0006,0
8.164,right,0.995,NaN,0.1759,0.379,1.11,0.0043,0
